stage,attack,defense,test_ca,asr
defended,badnets,fine_pruning,0.9623119556611243,0.740210355987055
defended,badnets,activation_clustering,0.9581155977830562,0.8906957928802589
defended,badnets,spectral_signatures,0.9581155977830562,0.8906957928802589
defended,badnets,neural_cleanse,0.9541567695961995,0.8960355987055016
defended,blended,fine_pruning,0.9547901821060966,0.34101941747572817
defended,blended,activation_clustering,0.956215360253365,0.43907766990291264
defended,blended,spectral_signatures,0.956215360253365,0.43907766990291264
defended,blended,neural_cleanse,0.9537608867775138,0.44660194174757284
defended,badnets,fine_pruning,0.9623119556611243,0.740210355987055
defended,badnets,activation_clustering,0.9581155977830562,0.8906957928802589
defended,badnets,spectral_signatures,0.9581155977830562,0.8906957928802589
defended,badnets,neural_cleanse,0.9541567695961995,0.8960355987055016
defended,blended,fine_pruning,0.9547901821060966,0.34101941747572817
defended,blended,activation_clustering,0.956215360253365,0.43907766990291264
defended,blended,spectral_signatures,0.956215360253365,0.43907766990291264
defended,blended,neural_cleanse,0.9537608867775138,0.44660194174757284
defended,badnets,fine_pruning,0.9623119556611243,0.740210355987055
defended,badnets,activation_clustering,0.9581155977830562,0.8906957928802589
defended,badnets,spectral_signatures,0.9581155977830562,0.8906957928802589
defended,badnets,neural_cleanse,0.9541567695961995,0.8960355987055016
defended,blended,fine_pruning,0.9547901821060966,0.34101941747572817
defended,blended,activation_clustering,0.956215360253365,0.43907766990291264
defended,blended,spectral_signatures,0.956215360253365,0.43907766990291264
defended,blended,neural_cleanse,0.9537608867775138,0.44660194174757284
defended,badnets,fine_pruning,0.9623119556611243,0.740210355987055
defended,badnets,activation_clustering,0.9581155977830562,0.8906957928802589
defended,badnets,spectral_signatures,0.9581155977830562,0.8906957928802589
defended,badnets,neural_cleanse,0.9541567695961995,0.8960355987055016
defended,blended,fine_pruning,0.9547901821060966,0.34101941747572817
defended,blended,activation_clustering,0.956215360253365,0.43907766990291264
defended,blended,spectral_signatures,0.956215360253365,0.43907766990291264
defended,blended,neural_cleanse,0.9537608867775138,0.44660194174757284
defended,badnets,fine_pruning,0.9623119556611243,0.740210355987055
defended,badnets,activation_clustering,0.9581155977830562,0.8906957928802589
defended,badnets,spectral_signatures,0.9581155977830562,0.8906957928802589
defended,badnets,neural_cleanse,0.9541567695961995,0.8960355987055016
defended,blended,fine_pruning,0.9547901821060966,0.34101941747572817
defended,blended,activation_clustering,0.956215360253365,0.43907766990291264
defended,blended,spectral_signatures,0.956215360253365,0.43907766990291264
defended,blended,neural_cleanse,0.9537608867775138,0.44660194174757284
defended,label_consistent,fine_pruning,0.9517022961203484,0.9337378640776699
defended,label_consistent,activation_clustering,0.9516231195566113,0.9644012944983819
defended,label_consistent,spectral_signatures,0.9516231195566113,0.9652912621359223
defended,label_consistent,neural_cleanse,0.9528107680126683,0.9666666666666667
defended,badnets,fine_pruning,0.9623119556611243,0.740210355987055
defended,badnets,activation_clustering,0.9581155977830562,0.8906957928802589
defended,badnets,spectral_signatures,0.9581155977830562,0.8906957928802589
defended,badnets,neural_cleanse,0.9541567695961995,0.8960355987055016
defended,blended,fine_pruning,0.9547901821060966,0.34101941747572817
defended,blended,activation_clustering,0.956215360253365,0.43907766990291264
defended,blended,spectral_signatures,0.956215360253365,0.43907766990291264
